player_id,family_name,given_name,wikipedia_title,reason
P-88006,Jardine,Sandy,Sandy_Jardine,no_image_on_page
P-88012,Stewart,Ian,Ian_Stewart_(Northern_Irish_footballer),no_image_on_page
P-88070,Czerniatynski,Alexandre,Alexandre_Czerniatynski,no_image_on_page
P-88081,Kim,Yung-kil,Kim_Yung-kil,no_image_on_page
P-88108,Cole,Duncan,Duncan_Cole,no_image_on_page
P-88196,Steward,Jimmy,Jimmy_Steward,no_image_on_page
P-88235,Coddou,Arturo,Arturo_Coddou,no_image_on_page
P-88284,López,Narciso,Narciso_López_(footballer),no_image_on_page
P-88328,Lezcano,Claudio,Claudio_Lezcano,no_image_on_page
P-88416,Kielholz,Leopold,Leopold_Kielholz,no_image_on_page
P-88434,Van Steen,Jean,Jean_Van_Steen,no_image_on_page
P-88468,Ryland,Ingrid,Ingrid_Ryland,no_image_on_page
P-88510,Kremenliev,Emil,Emil_Kremenliev,no_image_on_page
P-88598,Al-Suwayed,Yussef,Yussef_Al-Suwayed,no_image_on_page
P-88607,Al-Anberi,Abdulaziz,Abdulaziz_Al-Anberi,no_image_on_page
P-88622,Ren,Liping,Ren_Liping,no_image_on_page
P-88639,Panayotov,Panayot,Panayot_Panayotov_(footballer),no_image_on_page
P-88661,Diamantino,not applicable,Diamantino_Miranda,no_image_on_page
P-88673,Dike,Courtney,Courtney_Dike,no_image_on_page
P-88704,Mkhalele,Helman,Helman_Mkhalele,no_image_on_page
P-88749,Thychosen,Annette,Annette_Thychosen,no_image_on_page
P-88751,Fernández,Sebastián,Sebastián_Fernández,no_image_on_page
P-88758,Broadis,Ivor,Ivor_Broadis,no_image_on_page
P-88804,Rakarov,Kiril,Kiril_Rakarov,no_image_on_page
P-88846,Zeybek,Çetin,Çetin_Zeybek,no_image_on_page
P-88871,Hameed,Rahim,Abdul-Rahim_Hamed_Aufi,no_image_on_page
P-88899,Cuevas,Nelson,Nelson_Cuevas,no_image_on_page
P-88921,Ben Slimane,Mehdi,Mehdi_Ben_Slimane,no_image_on_page
P-88933,Norales,Prudencio,Prudencio_Norales,no_image_on_page
P-88955,Mulamba,Ndaye,Ndaye_Mulamba,no_image_on_page
P-88961,Ausloos,Raymond,Raymond_Ausloos,no_image_on_page
P-88971,Dolny,Tadeusz,Tadeusz_Dolny,no_image_on_page
P-88982,Pariani,Gino,Gino_Pariani,no_image_on_page
P-89031,Manglitz,Manfred,Manfred_Manglitz,no_image_on_page
P-89048,Kim,Chol-ok,Kim_Chol-ok,no_image_on_page
P-89067,Hellstrom,Jenna,Jenna_Hellstrom,no_image_on_page
P-89086,Hilario,not applicable,Juan_Hilario_Marrero,no_image_on_page
P-89092,Lowe,Onandi,Onandi_Lowe,no_image_on_page
P-89133,Nader,Hassan,Hassan_Nader,no_image_on_page
P-89154,Bouazizi,Riadh,Riadh_Bouazizi,no_image_on_page
P-89192,Obe,Yumi,Yumi_Obe,no_image_on_page
P-89223,Zhang,Yue,"Zhang_Yue_(footballer,_born_1990)",no_image_on_page
P-89259,Webster,Colin,Colin_Webster,no_image_on_page
P-89287,Cooper,Davie,Davie_Cooper,no_image_on_page
P-89288,Borghi,Frank,Frank_Borghi,no_image_on_page
P-89298,Joaquín,not applicable,Joaquín_Alonso,no_image_on_page
P-89322,Yun,Song-mi,Yun_Song-mi,wikipedia_page_not_found
P-89353,Álvarez,Eliseo,Eliseo_Álvarez,no_image_on_page
P-89367,Haddock,Harry,Harry_Haddock,no_image_on_page
P-89376,Seth,Reidun,Reidun_Seth,no_image_on_page
P-89408,Stoumbos,Helen,Helen_Stoumbos,no_image_on_page
P-89410,Suzana,not applicable,Suzana_Ferreira_da_Silva,no_image_on_page
P-89453,Mortensen,Stan,Stan_Mortensen,no_image_on_page
P-89481,Rosas,Manuel,"Manuel_Rosas_(footballer,_born_1912)",no_image_on_page
P-89509,Soria,Rubén,Rubén_Soria,no_image_on_page
P-89521,Szymanowski,Antoni,Antoni_Szymanowski,no_image_on_page
P-89543,Bossio,Miguel,Miguel_Bossio,no_image_on_page
P-89545,Suzuki,Masae,Masae_Suzuki,no_image_on_page
P-89564,Yahaya,Kulu,Kulu_Yahaya,no_image_on_page
