player_id,family_name,given_name,wikipedia_title,image_url
P-30596,Redmayne,Andrew,Andrew_Redmayne,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Andrew_Redmayne_2022.jpg/500px-Andrew_Redmayne_2022.jpg
P-94011,Rednic,Mircea,Mircea_Rednic,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Rednic_Mircea.jpg/500px-Rednic_Mircea.jpg
P-78898,Redondo,Fernando,Fernando_Redondo,https://upload.wikimedia.org/wikipedia/commons/3/3e/%D0%A4%D0%B5%D1%80%D0%BD%D0%B0%D0%BD%D0%B4%D0%BE_%D0%A0%D0%B5%D0%B4%D0%BE%D0%BD%D0%B4%D0%BE_2019.png
P-68379,Regis,David,David_Regis,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/David_R%C3%A9gis_septembre_2020.jpg/500px-David_R%C3%A9gis_septembre_2020.jpg
P-40752,Regueiro,Luis,Luis_Regueiro,https://upload.wikimedia.org/wikipedia/commons/0/01/Luis_Regueiro.jpg
P-46554,Regueiro,Mario,Mario_Regueiro,https://upload.wikimedia.org/wikipedia/commons/d/d4/MarioIgnacioRegueiro.jpg
P-71726,Rehmer,Marko,Marko_Rehmer,https://upload.wikimedia.org/wikipedia/commons/0/00/Marko_Rehmer_2022.jpg
P-80132,Rehn,Stefan,Stefan_Rehn,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Stefan_Rehn_a_20_4774.jpg/500px-Stefan_Rehn_a_20_4774.jpg
P-53735,Reid,Peter,Peter_Reid,https://upload.wikimedia.org/wikipedia/commons/6/65/Peter_Reid_Sunderland_1998small.jpg
P-19727,Reid,Steven,Steven_Reid,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Steven_Reid_2019.jpg/500px-Steven_Reid_2019.jpg
P-57058,Reid,Winston,Winston_Reid,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Winston_Reid_in_September_2014.JPG/500px-Winston_Reid_in_September_2014.JPG
P-45285,Reina,Miguel,Miguel_Reina,https://upload.wikimedia.org/wikipedia/commons/8/81/Miguel_Reina.PNG
P-44334,Reina,Pepe,Pepe_Reina,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Pepe_Reina_2017.jpg/500px-Pepe_Reina_2017.jpg
P-84320,Reinaldo,not applicable,José_Reinaldo_de_Lima,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/JPP4693_%2854137928249%29_%28cropped%29.jpg/500px-JPP4693_%2854137928249%29_%28cropped%29.jpg
P-40743,Reinders,Uwe,Uwe_Reinders,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Bundesarchiv_Bild_183-1990-1201-011%2C_Fu%C3%9Fballtrainer_Uwe_Reinders.jpg/500px-Bundesarchiv_Bild_183-1990-1201-011%2C_Fu%C3%9Fballtrainer_Uwe_Reinders.jpg
P-66639,Reinmayr,Hannes,Hannes_Reinmayr,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Zeltweger_Legendenturnier_2018_%2868%29.jpg/500px-Zeltweger_Legendenturnier_2018_%2868%29.jpg
P-34664,Reinoso,Carlos,Carlos_Reinoso,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Carlos_Reinoso.jpg/500px-Carlos_Reinoso.jpg
P-77652,Reiten,Guro,Guro_Reiten,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Guro_Reiten_Gotham_FC_v_Bay_FC_25_Apr_2026-54_%28cropped%29.jpg/500px-Guro_Reiten_Gotham_FC_v_Bay_FC_25_Apr_2026-54_%28cropped%29.jpg
P-27926,Reiziger,Michael,Michael_Reiziger,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/GAE_-_Ajax_-_52788080171_%28Michael_Reiziger%29.jpg/500px-GAE_-_Ajax_-_52788080171_%28Michael_Reiziger%29.jpg
P-72296,Rekdal,Kjetil,Kjetil_Rekdal,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Kjetil_Rekdal_2006-06-06.jpg/500px-Kjetil_Rekdal_2006-06-06.jpg
P-15615,Remetter,François,François_Remetter,https://upload.wikimedia.org/wikipedia/commons/d/df/Fran%C3%A7ois_Remetter_dans_les_ann%C3%A9es_1950.jpg
